"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Toxicity"
"8256","Immune System","477/2150",1.39830667863285e-10,5.10513853425391e-09,0,0,1.43599624100046,32.5836004248392,"ATF2;CDA;CNTF;PGLYRP2;C4BPA;C4BPB;PSMD8;PSMD6;RNF115;RNF114;AP1S2;PSMD1;JUNB;CXADR;PRKCE;ARMC8;DYNC1LI1;ORAI1;TXNIP;SERPING1;RBCK1;UBA52;CFH;MAPKAP1;A1BG;IQGAP2;HIF1A;ANAPC11;C2;RNF213;RNF216;C9;HMOX1;NUP88;S100A11;CREBBP;JUN;FN1;EIF2AK2;PRDX6;CYLD;TOLLIP;GPI;SERPINA3;ARF1;ARPC1B;ARPC1A;RPLP0;CLTC;ECSIT;IL18BP;PANX1;TUBA1C;TUBA1B;ELOC;JAK1;NDC1;ANXA2;AHSG;ARG1;DYNLL1;PSMA5;PSMA6;SIKE1;PSMA3;TUBB2A;PSMA4;VAMP7;PSMA1;RAPGEF1;PAFAH1B2;VAMP3;PSMB6;H3C15;PSMB4;PSMB5;PSMB2;PSMB3;STX3;RNF130;STAT1;STAT2;PSMB8;ERP44;PSMC6;PSMC4;NCF2;FBXO27;PROS1;RAB3D;UBE2D3;LTN1;RNF19B;DEFB1;IRS2;APEH;FGF2;PYCARD;NPEPPS;LAMP1;CDH1;LAMP2;TOM1;KPNA2;IL13RA1;FBXW4;IFNAR2;MAP2K3;MAP2K4;DGAT1;IST1;FBXW9;TAP2;TAP1;CNPY3;FBXO11;RNF41;ACLY;ADAM8;SLC27A2;KPNB1;FTL;IFNAR1;ANAPC2;RAB5C;CUL5;UBR4;ITPR2;UBR2;KLC1;HSP90B1;KLC4;VTN;HNRNPDL;BTBD1;PSAP;ABL2;RAB6A;SLC15A4;IP6K2;TXNDC5;AP1M1;MCL1;POLR3GL;ZBTB16;NFKB1;CXCL10;ARPC3;LCN2;BCL2;TPP2;XAF1;NIT2;MAP3K14;EIF4G3;LAT;MYD88;EIF4G2;BCL2L1;ITGB1;ITGAM;ITGB5;LEAP2;SNAP23;PTPN23;TNFSF13B;CAPZB;LBP;UNKL;NCK1;ACTR3;DDOST;TRAF7;PKM;TMBIM1;POLR1C;POLR1D;EVL;SNRPA1;LCP1;SEC22B;TRIM56;BIRC3;RNF34;CEBPD;C1R;SRC;NLRC5;MALT1;CDC42;ZNRF1;ZNRF2;HECTD1;TTR;IFI16;HECTD3;CCL2;RBBP6;POLR2H;EIF4E;AAMP;WASF2;POLR2K;PTPN1;PTPN18;SEC24B;TRIM41;ADRM1;FBXL18;PTPN11;BAIAP2;PTPN14;PML;RAB10;POLR3A;CLEC2B;TRIM39;RAB14;VAPA;IMPDH2;PDCD4;RAB18;STUB1;TRIM37;SEC24D;SEC24C;VPS35L;EIF4A1;IFITM1;AHCYL1;PITPNA;IFIT5;KEAP1;UBE2L6;IFI35;IFIT1;IFIT3;IFIT2;C4B;HERC5;RPS6KA3;MT2A;CDC23;HERC1;PPP2R1B;FTH1;CDC27;DHX58;FBXO4;TRIM25;CPNE3;FBXO6;ATP6V1E1;SKP2;ATP6V1E2;TRIM21;B2M;TRIM22;SKP1;IL15RA;ARSA;ATP6V0E1;RSAD2;HLA-B;HLA-C;HLA-A;CDC34;IFI27;PDE12;TRIM14;TRIM11;MAOA;PIK3R4;UBE2J2;PPL;SPTBN2;SEC31A;STAT5A;STAT5B;XRCC6;YES1;TNFSF14;STK11IP;PRG2;NBEAL2;PILRB;SMARCA4;BST2;CDC16;GRB2;CALM1;DET1;ORM1;CTSZ;GDI2;C8B;PPP3CA;PPP3CB;GLIPR1;C8G;CTSL;SEC61G;STBD1;CTSH;CTSF;HRAS;CTSD;CTSB;CCT2;SEC13;MANBA;DBNL;TNFRSF12A;TUBB;RHOG;COMMD3;RHOF;IL17RC;RHOA;APRT;ENAH;RNF144B;RAP2B;CANX;RHOU;CD46;ATP6V0C;RAB7A;CSTB;CD63;SP100;CAB39;IFI6;FAAP20;PGRMC1;ORMDL3;CD59;PAK2;CD55;IL32;NPDC1;DYNC1H1;MAP3K3;NPM1;HUWE1;UBE2G2;SVIP;VEGFA;ITCH;CFHR2;KLHL5;CFHR1;GSTA2;NEDD4;CFHR3;CAPZA2;SAA1;TRIP12;ACTR10;UBE3C;SRP14;PVR;ACTG1;COTL1;SIRPA;CAPN1;OSTF1;ACAA1;IL6R;FBXW11;ADAM10;MUC3A;EEF1A1;ELMO1;PPIE;RAF1;PPIA;VCL;PSMD11;COPB1;SDCBP;UBB;KIF3B;IRAK2;ATP6V1H;ATP6V1D;CD99;HSPA9;HSPA8;UBE2I;SMAD3;KLHL25;HSPA5;IDH1;HSPA6;GGH;MSN;ISG15;UBE2A;EIF2S1;IGF2R;SMAD7;ISG20;NFKBIA;UBE2W;MAVS;UBA3;UBE2N;DEGS1;UBA1;UBE2K;ULBP3;CXCL8;PRKCSH;TAT;TNFAIP3;CXCL1;DDX41;LMNB1;OASL;GHR;CASP8;UBE2Q1;CASP4;BLNK;CASP1;MLST8;LRRFIP1;FGB;HGSNAT;FGA;DYNLT1;ATP6AP2;PPP2R5B;PPP2R5D;YWHAZ;TAPBP;DNM2;CREB1;OAS1;OAS2;OAS3;IRF1;IRF2;ATP6V1B2;THOP1;DOCK1;IRF9;DCTN6;LAMA5;PDXK;DCTN2;DCTN4;MVP;RNF6;CBL;AGPAT2;USP18;IL1RL1;MAPK9;NUP42;MAPK1;STOM;GBP2;GBP1;CAMK2G;GBP4;GBP3;MX1;PLA2G2A;CMTM6;PDAP1;SOD2;GALNS;SUGT1;LTBR;ABCE1","Low"
"8257","Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers","131/451",1.93959620702726e-10,6.95021974184768e-09,0,0,2.01353504389949,45.0294314483136,"HDAC10;MAML1;IRS2;CCNC;RBPJ;FGF2;ACTG1;PSMD8;PPP1CC;PSMD6;PPP2R1B;FGFR1OP2;PSMD1;JUNB;SKP1;PDGFRB;RNF43;MAP2K2;TPM4;TPM3;ADAM10;TSC2;GTF2F1;BCR;CLIP1;PRKAR1A;TBL1XR1;AKAP9;CARS1;RAF1;UBA52;VCL;NOTCH1;PSMD11;CTBP1;TNKS;MAPKAP1;FOXO4;PHB;KLC1;FXR1;RNF213;UBB;MARK3;SPTBN1;MCL1;SEC31A;STAT5A;SMAD2;STAT5B;CREBBP;JUN;YES1;SMAD3;FZD5;EIF2AK3;FN1;MSN;ERLIN2;MOV10;AGO4;STRN;GRB2;CALM1;FGFR2;BCL2L1;CLTC;TENT4A;DUSP16;CNTRL;MLST8;MYO18A;LRRFIP1;HRAS;FGB;FGA;KSR1;NCBP1;RHOG;AXIN1;PPP2R5B;PPP2R5D;TGFBR2;NCOR2;PSMA5;EEF1G;KAT2B;PSMA6;CNKSR1;PSMA3;PSMA4;CREB1;PSMA1;MET;HDAC4;HDAC5;HDAC2;HDAC3;HDAC1;SRC;LRP5;CBL;EGFR;HDAC6;HDAC7;LRP6;PSMB6;MAPK9;PSMB4;PSMB5;PSMB2;CUX1;ERBB3;PSMB3;POLR2B;ERBB2;MAPK1;POLR2H;TBL1X;POLR2I;CAMK2G;POLR2K;TCF7L2;NPM1;STAT1;ADRM1;PTPN11;TNRC6C;PSMC6;PSMC4;MAMLD1","Low"
"8258","HIV Infection","78/227",2.46757809928606e-10,8.68138840385185e-09,0,0,2.56082664725504,56.6521788925177,"ARF1;ELL;TAT;PSMD8;PSMD6;XPO1;AP1S2;PSMD1;RCC1;NELFB;ELOC;NELFCD;B2M;SKP1;NELFE;NDC1;SEC13;NCBP1;VPS37C;HLA-A;GTF2F1;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;ELMO1;CHMP6;SLC25A5;UBA52;PPIA;KPNB1;CHMP5;SLC25A6;PSMD11;TSG101;CUL5;VPS4B;TAF9;VPS4A;SUPT4H1;GTF2E1;PSMB6;PSMB4;PSMB5;PSMB2;UBB;PSMB3;NUP42;POLR2B;MVB12A;ATP6V1H;NUP88;POLR2H;POLR2I;PAK2;POLR2K;AP1M1;XRCC6;NPM1;TAF15;TAF13;VTA1;TAF10;ADRM1;TAF11;HMGA1;GTF2H1;GTF2H2;SUPT5H;GTF2H4;PSMC6;ERCC3;PSMC4;TCEA1;TAF7;TAF6;TAF2","Low"
"8259","Nuclear Events Mediated by NFE2L2","40/87",4.11020686638361e-10,1.42022326543791e-08,0,0,4.14222846324553,89.5234055298802,"NOTCH1;PSMD11;KEAP1;PSMD8;PSMB6;PSMD6;PSMB4;PSMB5;PSMB2;UBB;PSMB3;ME1;PSMD1;CCL2;HMOX1;ABCF2;SKP1;ABCC3;G6PD;CREBBP;IDH1;TXNRD1;ADRM1;GSR;PGD;NFKB1;PSMA5;PSMA6;PSMA3;PSMA4;PSMC6;PSMA1;PSMC4;MAFG;BCL2;MAFK;TKT;UBA52;ATF4;BCL2L1","Low"
"8260","Cellular Response to Chemical Stress","71/202",5.01358468869751e-10,1.70198006537363e-08,0,0,2.64868245137361,56.7180907838121,"COX7B;NCF2;KEAP1;TXN2;PSMD8;PSMD6;MAP1LC3B;ME1;PSMD1;SKP2;TRIM21;SKP1;COX8A;ABCC3;MED1;G6PD;GPX2;CSNK2A1;PGD;NCOR2;PSMA5;PSMA6;COX7A2L;PSMA3;PSMA4;PSMA1;TBL1XR1;TXNIP;BLVRB;PPARA;TKT;UBA52;ATF4;NOTCH1;PSMD11;HDAC3;HM13;COX7A2;COX5A;DPP3;HELZ2;PRDX3;PSMB6;PRDX2;PSMB4;PSMB5;RXRA;PSMB2;UBB;PSMB3;HMOX1;CCL2;TBL1X;ABCF2;CREBBP;NDUFA4;IDH1;TXNRD1;GSR;ADRM1;EIF2AK3;SOD2;PRDX6;NFKB1;PSMC6;PSMC4;MAFG;CARM1;BCL2;MAFK;BCL2L1","Low"
"8261","Signaling by Rho GTPases","177/672",8.61817520043213e-10,2.87520155393727e-08,0,0,1.76438440282469,36.8261916653713,"TRIO;NCF2;FAM13A;H2AB1;ARHGAP39;MSI2;ACTG1;PPP1CC;GOLGA3;ARHGAP42;H2AC14;SLK;PPP2R1B;CDH1;ANKFY1;H4C1;TMPO;GOLGA8R;TPM4;TPM3;H2AC7;ACTN1;MRTFA;OCRL;VRK2;KCTD3;LEMD3;TEX2;SRRM1;BCR;NISCH;DYNC1LI1;MYL6;CLIP1;DDX39B;WDR81;HGS;PKP4;MYL9;STAM2;MAD1L1;PFN2;TMEM87A;PIK3R4;ARHGAP17;IQGAP2;KLC1;RHOBTB1;MYL12B;ARHGAP12;KLC4;STIP1;SCFD1;MYO6;DVL1;ABL2;PLXNA1;MYH14;RHPN2;SPTBN1;CPSF7;CAV1;NET1;RPS27;UBXN11;ARPC3;CPD;DLG5;PLXNB1;GRB2;HNRNPC;CALM1;FERMT2;ARHGAP11A;ITGB1;ZNF512B;YWHAE;ARHGAP11B;DOCK9;SOWAHC;ARPC1B;ARPC1A;CLTC;SNAP23;ARHGEF10L;LMNB1;RND1;TUBA1C;AKAP13;TUBA1B;HINT2;XPO1;CAPZB;YWHAQ;C1QBP;STBD1;MCF2L;DBT;FLOT1;GIT1;NCK1;ACTR3;PLEKHG3;CCT2;SEC13;DST;ATP6AP1;CCDC115;RHOG;PPP2R5B;RRAS2;ARHGEF18;PPP2R5D;RHOF;ARAP1;DYNLL1;GMIP;RHOC;RHOD;CKAP5;YWHAZ;RHOA;RHOB;H2AJ;TUBB2A;CTTN;GFOD1;PEAK1;RAPGEF1;NDUFS3;DSG2;EVL;ARHGEF1;RHOU;PPP1R12B;ARHGEF7;DOCK1;VAMP3;RAB7A;SRC;GPS1;CDC42;GNA13;FGD4;H3C15;PGRMC2;ARL13B;CTNNA1;EMC3;STX5;MAPK1;STOM;RBBP6;CCT7;YKT6;WASF2;PAK2;CLASP1;RNF20;IL32;SPEN;FARP1;DYNC1H1;KDM4C;MTX1;H2BC4;WWP2;CDC42BPB;BAIAP2;HSPE1;MYO9A;LETM1;TMEM59;CENPH;SHKBP1;DLC1;PKN1","Low"
"8262","Signaling by Rho GTPases, Miro GTPases and RHOBTB3","180/688",1.0869491399698e-09,3.56482472176535e-08,0,0,1.74856869074525,36.0902672166689,"TRIO;NCF2;FAM13A;H2AB1;ARHGAP39;MSI2;ACTG1;PPP1CC;GOLGA3;ARHGAP42;H2AC14;SLK;PPP2R1B;CDH1;ANKFY1;H4C1;TMPO;GOLGA8R;TPM4;TPM3;H2AC7;ACTN1;MRTFA;OCRL;VRK2;KCTD3;LEMD3;TEX2;SRRM1;BCR;NISCH;DYNC1LI1;MYL6;CLIP1;DDX39B;WDR81;HGS;PKP4;MYL9;STAM2;MAD1L1;PFN2;TMEM87A;PIK3R4;ARHGAP17;IQGAP2;KLC1;RHOBTB1;MYL12B;ARHGAP12;KLC4;STIP1;SCFD1;MYO6;DVL1;ABL2;PLXNA1;MYH14;RHPN2;SPTBN1;CPSF7;CAV1;NET1;RPS27;UBXN11;ARPC3;CPD;DLG5;PLXNB1;GRB2;HNRNPC;CALM1;FERMT2;ARHGAP11A;ITGB1;ZNF512B;YWHAE;ARHGAP11B;DOCK9;SOWAHC;ARPC1B;ARPC1A;CLTC;SNAP23;ARHGEF10L;LMNB1;RND1;TUBA1C;AKAP13;TUBA1B;HINT2;XPO1;CAPZB;YWHAQ;C1QBP;STBD1;MCF2L;DBT;FLOT1;GIT1;NCK1;ACTR3;PLEKHG3;CCT2;SEC13;DST;ATP6AP1;CCDC115;RHOG;PPP2R5B;RRAS2;ARHGEF18;PPP2R5D;RHOF;ARAP1;DYNLL1;GMIP;RHOC;RHOD;CKAP5;YWHAZ;RHOA;RHOB;H2AJ;TUBB2A;CTTN;GFOD1;PEAK1;RAPGEF1;NDUFS3;DSG2;EVL;ARHGEF1;RHOU;PPP1R12B;ARHGEF7;DOCK1;VAMP3;RAB7A;SRC;GPS1;RAP1GDS1;CDC42;GNA13;FGD4;H3C15;PGRMC2;ARL13B;CTNNA1;EMC3;MFN2;STX5;MAPK1;STOM;RBBP6;CCT7;YKT6;WASF2;PAK2;CLASP1;RNF20;IL32;SPEN;FARP1;DYNC1H1;KDM4C;MTX1;H2BC4;WWP2;CDC42BPB;BAIAP2;HSPE1;MYO19;MYO9A;LETM1;TMEM59;CENPH;SHKBP1;DLC1;PKN1","Low"
"8263","RHO GTPase Cycle","128/450",1.34483024005098e-09,4.33707752416441e-08,0,0,1.95318881912427,39.8977841945213,"TRIO;NCF2;FAM13A;ARHGAP39;MSI2;ACTG1;GOLGA3;ARHGAP42;SLK;ANKFY1;TMPO;GOLGA8R;TPM4;TPM3;ACTN1;OCRL;VRK2;KCTD3;LEMD3;TEX2;SRRM1;BCR;NISCH;DDX39B;WDR81;HGS;PKP4;STAM2;TMEM87A;ARHGAP17;IQGAP2;RHOBTB1;ARHGAP12;STIP1;SCFD1;MYO6;ABL2;PLXNA1;RHPN2;SPTBN1;CPSF7;CAV1;NET1;UBXN11;CPD;DLG5;PLXNB1;GRB2;HNRNPC;FERMT2;ARHGAP11A;ITGB1;ZNF512B;ARHGAP11B;DOCK9;SOWAHC;CLTC;SNAP23;ARHGEF10L;LMNB1;RND1;AKAP13;TUBA1B;HINT2;CAPZB;C1QBP;STBD1;MCF2L;DBT;FLOT1;GIT1;NCK1;PLEKHG3;CCT2;DST;ATP6AP1;CCDC115;RHOG;RRAS2;ARHGEF18;RHOF;ARAP1;GMIP;RHOC;RHOD;RHOA;RHOB;GFOD1;PEAK1;RAPGEF1;NDUFS3;DSG2;ARHGEF1;RHOU;ARHGEF7;DOCK1;VAMP3;RAB7A;SRC;GPS1;CDC42;GNA13;FGD4;PGRMC2;ARL13B;EMC3;STX5;STOM;RBBP6;CCT7;YKT6;WASF2;PAK2;RNF20;IL32;SPEN;FARP1;MTX1;WWP2;CDC42BPB;BAIAP2;HSPE1;MYO9A;LETM1;TMEM59;SHKBP1;DLC1;PKN1","Low"
"8264","Mitochondrial Protein Degradation","42/97",1.49823457018961e-09,4.75259654642113e-08,0,0,3.71709905660377,75.5276553496029,"NDUFA13;FH;NDUFB6;ECI1;TRIAP1;PDHB;SPG7;MRPL12;COX5A;MRPL32;ACAT1;HSPD1;CHCHD2;ALDH2;ALDH1B1;DBT;LONP1;TIMM17A;PMPCA;IARS2;NDUFV3;ME2;ATP5MG;NDUFV1;HSPA9;ATP5PF;PDHA1;ATP5PD;OXSM;TWNK;NDUFA2;ATP5F1C;CLPX;PCCB;ACOT2;NDUFS3;ATP5PO;SUCLG2;UQCRC2;SSBP1;SLC25A5;SLC25A6","Low"
"8265","PTEN Regulation","55/145",1.91995035762723e-09,5.97358460668305e-08,0,0,2.97977705435533,59.8070054552306,"ATF2;ATN1;CHD4;PSMD8;RPTOR;PSMD6;SCMH1;MLST8;PSMD1;CSNK2A1;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;RRAGB;RRAGD;PPARG;UBA52;HDAC5;HDAC2;PSMD11;HDAC3;TNKS;HDAC1;HDAC7;PSMB6;PSMB4;MTA1;PSMB5;UBB;PSMB2;RBBP4;PSMB3;MAPK1;MTA2;MTA3;MBD3;SUZ12;JUN;ADRM1;WWP2;PHC3;PML;TNRC6C;MOV10;PSMC6;VAPA;AGO4;PSMC4;NEDD4;STUB1;TNRC6A;EZH2;TNRC6B","Low"
"8266","SARS-CoV-2 Modulates Host Translation Machinery","29/55",1.9448880114782e-09,5.97358460668305e-08,0,0,5.4180503784028,108.675587370575,"RPS4Y2;GEMIN2;DDX20;RPS27L;RPS14;RPS17;RPS16;RPS15A;RPS19;SNRPD2;SNRPD1;SNRPD3;RPS13;RPS12;RPS9;RPS7;RPS8;RPSA;RPS26;RPS25;RPS28;RPS27;RPS29;SNRPG;SNRPE;RPS20;RPS21;RPS24;RPS23","Low"
"8267","SARS-CoV-1 Modulates Host Translation Machinery","24/41",2.93778974400954e-09,8.88222367915385e-08,0,0,6.85140589960324,134.600036786611,"RPS9;RPS4Y2;RPS7;RPS8;RPS27L;RPSA;EEF1A1;RPS26;RPS14;RPS25;RPS17;RPS28;RPS15A;RPS16;RPS27;RPS19;RPS29;RPS20;HNRNPA1;RPS21;RPS13;RPS24;RPS12;RPS23","Low"
"8268","Cytokine Signaling in Immune System","196/776",4.25510904981469e-09,1.26671323252176e-07,0,0,1.66836489105663,32.1579759331524,"ATF2;EIF4A1;CNTF;IFITM1;PITPNA;IFIT5;UBE2L6;IFI35;IFIT1;IFIT3;IFIT2;PSMD8;HERC5;RPS6KA3;PSMD6;MT2A;PPP2R1B;PSMD1;TRIM25;TRIM21;JUNB;B2M;TRIM22;SKP1;IL15RA;RSAD2;HLA-B;HLA-C;HLA-A;IFI27;PDE12;TRIM14;UBA52;MAOA;HIF1A;HMOX1;NUP88;STAT5A;STAT5B;JUN;YES1;TNFSF14;FN1;EIF2AK2;SMARCA4;BST2;TOLLIP;GRB2;ARF1;RPLP0;IL18BP;TUBA1C;TUBA1B;ELOC;HRAS;JAK1;NDC1;SEC13;TNFRSF12A;ANXA2;IL17RC;PSMA5;PSMA6;PSMA3;PSMA4;VAMP7;TUBB2A;PSMA1;CANX;RAPGEF1;RHOU;SP100;IFI6;FAAP20;PSMB6;H3C15;PSMB4;PSMB5;PSMB2;PSMB3;STX3;PAK2;IL32;MAP3K3;NPM1;STAT1;STAT2;PSMB8;VEGFA;PSMC6;PSMC4;NEDD4;GSTA2;SAA1;UBE2D3;IRS2;FGF2;KPNA2;IL6R;IL13RA1;IFNAR2;MAP2K3;MAP2K4;FBXW11;RAF1;PPIA;KPNB1;IFNAR1;PSMD11;CUL5;HSP90B1;HNRNPDL;UBB;IRAK2;ABL2;IP6K2;MCL1;HSPA9;HSPA8;UBE2I;SMAD3;MSN;ISG15;EIF2S1;NFKB1;SMAD7;ISG20;NFKBIA;CXCL10;MAVS;LCN2;UBA3;UBE2N;BCL2;XAF1;EIF4G3;MAP3K14;MYD88;EIF4G2;BCL2L1;ITGB1;ITGAM;CXCL8;TAT;CXCL1;PTPN23;TNFSF13B;LMNB1;OASL;GHR;CASP8;BLNK;CASP1;LBP;NCK1;PPP2R5D;YWHAZ;CREB1;OAS1;OAS2;IRF1;OAS3;IRF2;SNRPA1;LCP1;IRF9;BIRC3;LAMA5;CEBPD;SRC;NLRC5;CBL;USP18;CDC42;IL1RL1;MAPK9;NUP42;CCL2;MAPK1;GBP2;EIF4E;CAMK2G;GBP1;GBP4;GBP3;PTPN1;PTPN18;MX1;ADRM1;PTPN11;SOD2;PTPN14;PML;PDCD4;LTBR;ABCE1","Low"
"8269","Epigenetic Regulation of Gene Expression","90/291",4.94508107965226e-09,1.44980786198896e-07,0,0,2.19127151324716,41.9077882505223,"H2AB1;EHMT1;CCNC;CHD4;SGF29;MED16;MED12;MED14;H2AC14;SUMO2;UBTF;WDR5;DPF3;H4C1;ZNF324;MED1;SS18;ACSL1;ELOVL5;H2AC7;ACTL6A;BAZ1B;NCOR2;PHF20L1;KAT2B;H2AJ;TBL1XR1;MED20;TET3;POLR1C;POLR1D;PLIN2;PPARG;MGLL;ZCCHC8;KMT2D;CEBPA;SMARCD1;HDAC2;SMARCD2;HDAC3;KMT2A;HDAC1;KMT2C;KMT2B;BAZ2A;AGPAT2;H3C15;TAF1D;RXRA;MTA1;RBBP4;TAF1B;TAF1C;TDG;MED31;MBIP;SAP18;TBL1X;POLR2H;MTA2;PPARGC1A;MORC2;MTA3;POLR2K;MBD3;SUZ12;ATF7IP;SMARCE1;ZNF264;CREBBP;UBE2I;BOD1;CBX3;SETD1B;SS18L1;MCRS1;H2BC4;SMARCA5;GTF2H1;GTF2H2;GTF2H4;SMARCA4;ERCC3;THRSP;ERCC6;MPHOSPH8;OGT;EZH2;PNPLA2","Low"
"8270","Antigen Processing Ubiquitination & Proteasome Degradation","90/296",1.23801314811202e-08,3.57545588298025e-07,0,0,2.1374320620616,38.9165952213354,"DET1;UBE3C;FBXO27;UBE2D3;LTN1;KEAP1;RNF19B;UBE2L6;HERC5;PSMD8;NPEPPS;PSMD6;RNF115;CDC23;RNF114;HERC1;UBE2Q1;CDC27;FBXO4;PSMD1;FBXO6;ELOC;SKP2;TRIM21;UNKL;SKP1;FBXW4;FBXW11;FBXW9;FBXO11;RNF41;PSMA5;PSMA6;RNF144B;TRAF7;PSMA3;CDC34;PSMA4;PSMA1;RBCK1;UBA52;THOP1;TRIM11;ANAPC2;PSMD11;RNF34;CUL5;UBR4;UBR2;RNF6;UBE2J2;ANAPC11;PSMB6;ZNRF1;PSMB4;ZNRF2;RNF213;PSMB5;HECTD1;PSMB2;BTBD1;UBB;PSMB3;HECTD3;RBBP6;RNF130;TRIM41;KLHL25;ZBTB16;ADRM1;HUWE1;FBXL18;UBE2G2;UBE2A;UBE2W;ITCH;PSMC6;KLHL5;TRIM39;PSMC4;NEDD4;CDC16;UBA3;UBE2N;TPP2;TRIP12;UBA1;STUB1;TRIM37;UBE2K","Low"
"8271","Cellular Response to Hypoxia","30/62",1.42538004504554e-08,4.05604468700459e-07,0,0,4.55365011750881,82.267346224398,"PSMD11;CITED2;UBE2D3;LIMD1;HIGD1A;HIF1A;PSMD8;PSMB6;PSMD6;PSMB4;PSMB5;PSMB2;UBB;PSMB3;PSMD1;ELOC;HIF1AN;CREBBP;EGLN2;ADRM1;ARNT;VEGFA;PSMA5;PSMA6;PSMA3;PSMA4;PSMC6;PSMA1;PSMC4;UBA52","Low"
"8272","KEAP1-NFE2L2 Pathway","46/119",1.98818905417778e-08,5.57557365193334e-07,0,0,3.06754702333781,54.3982118306342,"NOTCH1;PSMD11;KEAP1;DPP3;PSMD8;PSMB6;PSMD6;MAP1LC3B;PSMB4;PSMB5;UBB;PSMB2;PSMB3;ME1;PSMD1;HMOX1;CCL2;SKP2;ABCF2;TRIM21;SKP1;ABCC3;G6PD;CREBBP;CSNK2A1;IDH1;TXNRD1;ADRM1;GSR;EIF2AK3;PGD;NFKB1;PSMA5;PSMA6;PSMA3;PSMA4;PSMC6;PSMA1;PSMC4;MAFG;BCL2;MAFK;TKT;UBA52;ATF4;BCL2L1","Low"
"8273","ER to Golgi Anterograde Transport","55/155",2.97218559368632e-08,8.21597017683291e-07,0,0,2.68017164841669,46.4510818044812,"ARF1;KDELR1;CTSZ;MIA2;MIA3;GOLGA2;TUBA1C;TUBA1B;CAPZB;TMED3;TMED2;SEC13;COG7;TRAPPC2L;COG5;COG4;COG1;DYNLL1;DYNC1LI1;TRAPPC6A;TUBB2A;TRAPPC6B;SEC22B;DCTN6;NAPA;COPB2;RAB1A;SPTBN5;TMED10;DCTN2;COPB1;DCTN4;GOSR1;NAPG;SCFD1;STX5;CD59;YKT6;SPTBN1;CD55;SEC31A;SPTBN2;ANKRD28;DYNC1H1;SEC24B;SEC16A;TRAPPC4;TMEM115;COL7A1;CAPZA2;COPG2;SEC24D;ACTR10;SEC24C;COPE","Low"
"8274","Notch-HLH Transcription Pathway","18/28",3.65084519102251e-08,9.94983865440642e-07,0,0,8.72388758782201,149.402873971962,"HDAC4;NOTCH2;HDAC5;HDAC2;CREBBP;HDAC3;NOTCH1;HDAC10;HDAC1;MAML1;RBPJ;HDAC6;HDAC7;NCOR2;KAT2B;TBL1XR1;TBL1X;MAMLD1","Low"
"8275","Neutrophil Degranulation","129/478",3.74294266273363e-08,1.00591584060966e-06,0,0,1.81369115995995,31.0155854470716,"CDA;RAB3D;APEH;SRP14;PYCARD;PSMD6;LAMP1;FTH1;LAMP2;TOM1;COTL1;PSMD1;SIRPA;CPNE3;CAPN1;OSTF1;ACAA1;B2M;ARSA;DGAT1;IST1;HLA-B;HLA-C;ADAM10;ARMC8;EEF1A1;DYNC1LI1;ACLY;PPIE;ADAM8;SLC27A2;PPIA;KPNB1;VCL;FTL;RAB5C;PSMD11;COPB1;UBR4;A1BG;IQGAP2;SDCBP;PSAP;RAB6A;SLC15A4;ATP6V1D;S100A11;AP1M1;TXNDC5;HSPA8;XRCC6;STK11IP;IDH1;HSPA6;PRG2;GGH;NBEAL2;PRDX6;NFKB1;IGF2R;BST2;TOLLIP;LCN2;DEGS1;NIT2;GPI;SERPINA3;ORM1;ITGAM;SNAP23;CTSZ;GDI2;CXCL1;GLIPR1;STBD1;CTSH;CTSD;CTSB;CCT2;HGSNAT;MANBA;DBNL;ANXA2;DYNLT1;AHSG;ARG1;TUBB;ATP6AP2;RHOG;COMMD3;RHOF;DYNLL1;DDOST;RHOA;APRT;PSMA5;PKM;RAP2B;TMBIM1;ATP6V0C;PAFAH1B2;RAB7A;CD63;CSTB;PDXK;CAB39;MVP;AGPAT2;PGRMC1;TTR;ORMDL3;MAPK1;STOM;CD59;CD55;DYNC1H1;CMTM6;HUWE1;PDAP1;SVIP;RAB10;GALNS;ERP44;RAB14;VAPA;IMPDH2;RAB18;ACTR10;VPS35L","Low"
"8276","Signaling by NOTCH","68/209",4.1076999644034e-08,1.08882183987953e-06,0,0,2.35332043842682,40.024844515677,"HDAC10;MAML1;WWC1;H2AB1;CCNC;RBPJ;PSMD8;PSMD6;H2AC14;PSMD1;TMED2;H4C1;SKP1;TLE3;H2AC7;ADAM10;YWHAZ;RUNX1;NCOR2;PSMA5;KAT2B;PSMA6;H2AJ;PSMA3;PSMA4;CREB1;PSMA1;TBL1XR1;NUMB;UBA52;NOTCH2;HDAC4;HDAC5;HDAC2;NOTCH1;PSMD11;HDAC3;HDAC1;DTX2;HIF1A;EGFR;HDAC6;HDAC7;PSMB6;H3C15;PSMB4;PSMB5;PSMB2;UBB;PSMB3;TBL1X;RAB6A;CREBBP;JUN;SMAD3;STAT1;H2BC4;ADRM1;WWP2;TNRC6C;MOV10;ITCH;PSMC6;AGO4;PSMC4;MAMLD1;TNRC6A;TNRC6B","Low"
